timestamp,sender,recipient,subject,status,size
2024-02-09 12:20:33.020140,user415@server.net,user881@mail.com,Invoice: Important Notice 47,sent,4720622
2024-02-06 15:52:33.020140,user78@mail.com,user226@server.net,Reminder: Important Notice 57,sent,1150930
2024-02-06 05:50:33.020140,user830@mail.com,user220@mail.com,Reminder: Important Notice 3,deferred,8080128
2024-02-24 21:23:33.020140,user617@mail.com,user325@server.net,Invoice: Important Notice 74,deferred,756897
2024-02-23 20:32:33.021151,user730@server.net,user526@example.com,Urgent: Important Notice 7,failed,4437954
2024-02-11 13:51:33.021151,user910@server.net,user868@mail.com,Reminder: Important Notice 80,deferred,2946010
2024-03-03 20:29:33.021151,user618@server.net,user247@mail.com,Meeting: Important Notice 42,failed,9216372
2024-02-15 14:20:33.021151,user496@example.com,user398@example.com,Urgent: Important Notice 22,deferred,6007829
2024-02-09 22:05:33.021151,user535@example.com,user331@mail.com,Invoice: Important Notice 52,deferred,8049068
2024-02-07 16:19:33.021151,user235@server.net,user272@example.com,Reminder: Important Notice 65,deferred,6387620
2024-02-16 11:51:33.021151,user177@example.com,user658@example.com,Report: Important Notice 42,sent,9928921
2024-02-29 15:38:33.021151,user764@mail.com,user730@server.net,Report: Important Notice 34,sent,3737868
2024-02-17 08:46:33.021151,user268@example.com,user204@server.net,Urgent: Important Notice 94,deferred,10163937
2024-03-01 01:35:33.021151,user222@example.com,user77@example.com,Urgent: Important Notice 59,failed,10346752
2024-02-18 00:45:33.021151,user269@example.com,user226@mail.com,Report: Important Notice 62,failed,9839023
2024-03-04 21:58:33.021151,user130@example.com,user878@example.com,Urgent: Important Notice 78,sent,2423314
2024-02-14 21:26:33.021151,user456@mail.com,user404@server.net,Report: Important Notice 59,failed,5441711
2024-03-03 20:21:33.021151,user238@example.com,user590@mail.com,Reminder: Important Notice 85,deferred,307441
2024-02-06 13:17:33.021151,user336@server.net,user475@mail.com,Urgent: Important Notice 9,sent,7736306
2024-02-06 17:46:33.021151,user704@mail.com,user509@example.com,Meeting: Important Notice 68,deferred,4562684
2024-03-05 11:05:33.021151,user608@server.net,user428@mail.com,Urgent: Important Notice 33,sent,8312641
2024-03-04 21:13:33.021151,user990@example.com,user707@mail.com,Reminder: Important Notice 58,sent,4660159
2024-02-24 07:51:33.021151,user442@example.com,user660@example.com,Meeting: Important Notice 88,sent,1034314
2024-02-06 09:13:33.021151,user832@server.net,user350@server.net,Reminder: Important Notice 51,failed,1878469
2024-02-21 07:56:33.021151,user261@server.net,user953@mail.com,Report: Important Notice 78,failed,2964251
2024-02-17 13:15:33.021151,user128@example.com,user792@example.com,Invoice: Important Notice 53,deferred,3450485
2024-03-01 00:26:33.021151,user234@example.com,user792@server.net,Report: Important Notice 42,deferred,1653019
2024-02-18 22:55:33.021151,user858@server.net,user442@example.com,Urgent: Important Notice 75,failed,6776863
2024-02-17 12:19:33.021151,user293@mail.com,user147@mail.com,Reminder: Important Notice 24,deferred,3889634
2024-02-09 03:20:33.021151,user979@example.com,user891@server.net,Report: Important Notice 37,deferred,6077510
2024-03-05 13:04:33.021151,user39@server.net,user365@server.net,Invoice: Important Notice 46,failed,228611
2024-02-15 19:56:33.021151,user224@example.com,user157@example.com,Reminder: Important Notice 36,sent,7351117
2024-02-24 21:47:33.021151,user298@example.com,user727@example.com,Report: Important Notice 43,failed,8220343
2024-02-14 09:07:33.021151,user157@mail.com,user565@mail.com,Urgent: Important Notice 5,failed,5441734
2024-02-24 18:15:33.021151,user859@server.net,user939@server.net,Invoice: Important Notice 81,sent,1032515
2024-02-10 14:01:33.021151,user180@example.com,user269@mail.com,Meeting: Important Notice 67,deferred,1449048
2024-02-14 20:44:33.021151,user6@mail.com,user54@mail.com,Invoice: Important Notice 66,failed,3892009
2024-02-15 10:03:33.021151,user946@server.net,user1@mail.com,Reminder: Important Notice 80,deferred,6816753
2024-02-18 15:25:33.021151,user311@mail.com,user543@mail.com,Report: Important Notice 48,failed,245382
2024-02-23 15:36:33.021151,user289@server.net,user107@server.net,Invoice: Important Notice 5,deferred,2781367
2024-02-21 08:25:33.021151,user671@server.net,user705@mail.com,Reminder: Important Notice 1,sent,9006932
2024-02-13 20:08:33.021659,user128@mail.com,user3@example.com,Meeting: Important Notice 55,failed,964668
2024-02-25 08:30:33.021659,user254@server.net,user973@server.net,Reminder: Important Notice 18,deferred,9240162
2024-02-21 21:54:33.021659,user555@mail.com,user319@mail.com,Report: Important Notice 56,deferred,792101
2024-03-05 17:10:33.021659,user576@server.net,user588@server.net,Reminder: Important Notice 19,failed,9680439
2024-02-24 21:07:33.021659,user994@example.com,user601@example.com,Reminder: Important Notice 51,deferred,9101389
2024-02-16 18:26:33.021659,user420@example.com,user866@mail.com,Report: Important Notice 80,deferred,4786193
2024-02-21 12:16:33.021659,user791@example.com,user140@mail.com,Report: Important Notice 13,deferred,8159282
2024-02-22 21:26:33.021659,user583@mail.com,user383@server.net,Urgent: Important Notice 37,failed,6232444
2024-02-27 01:52:33.021659,user293@example.com,user883@server.net,Report: Important Notice 94,sent,6878458
2024-02-28 16:57:33.021659,user191@server.net,user500@mail.com,Invoice: Important Notice 10,failed,7279195
2024-03-02 03:15:33.021659,user429@mail.com,user284@mail.com,Reminder: Important Notice 45,sent,5082021
2024-03-03 06:11:33.021659,user631@server.net,user573@mail.com,Reminder: Important Notice 23,sent,7903811
2024-02-16 09:25:33.021659,user423@example.com,user817@server.net,Meeting: Important Notice 28,failed,8123834
2024-02-14 01:00:33.021659,user268@server.net,user50@mail.com,Invoice: Important Notice 24,failed,1363750
2024-02-12 23:03:33.021659,user835@example.com,user653@example.com,Invoice: Important Notice 58,sent,2434456
2024-03-04 22:35:33.021659,user234@example.com,user958@server.net,Meeting: Important Notice 62,deferred,2603833
2024-02-06 09:12:33.021659,user336@example.com,user2@mail.com,Report: Important Notice 67,deferred,9140890
2024-02-29 18:53:33.021659,user938@example.com,user637@server.net,Meeting: Important Notice 85,sent,6600105
2024-02-04 22:22:33.021659,user815@example.com,user615@server.net,Report: Important Notice 83,failed,7873145
2024-02-09 05:05:33.021659,user226@mail.com,user304@mail.com,Meeting: Important Notice 100,failed,1220289
2024-02-25 21:34:33.021659,user280@mail.com,user342@mail.com,Reminder: Important Notice 36,failed,5452003
2024-02-25 01:40:33.021659,user657@mail.com,user102@example.com,Meeting: Important Notice 57,failed,9489142
2024-02-15 12:16:33.021659,user227@example.com,user730@server.net,Urgent: Important Notice 8,sent,8864361
2024-02-16 13:02:33.021659,user77@server.net,user746@example.com,Report: Important Notice 18,failed,9050692
2024-02-20 00:24:33.021659,user650@example.com,user149@server.net,Meeting: Important Notice 83,failed,1911326
2024-02-17 02:23:33.021659,user51@example.com,user626@example.com,Urgent: Important Notice 87,failed,5155343
2024-03-04 03:22:33.021659,user763@server.net,user78@example.com,Invoice: Important Notice 29,deferred,10341084
2024-02-10 04:58:33.021659,user356@server.net,user68@mail.com,Reminder: Important Notice 72,sent,5909187
2024-03-05 11:49:33.021659,user194@server.net,user45@mail.com,Invoice: Important Notice 19,deferred,1738279
2024-02-29 10:32:33.021659,user545@example.com,user220@mail.com,Meeting: Important Notice 17,deferred,9771562
