2022-05-11 13:17:36 | guest314 | 92.189.76.205 | guest314@test.org | Failure | Intrusion Detected
2022-01-28 14:20:31 | user322 | 250.172.221.61 | user322@company.com | Failure | Intrusion Detected
2022-01-01 19:23:23 | admin628 | 33.124.55.108 | admin628@test.org | Failure | Intrusion Detected
2022-04-18 17:11:23 | user241 | 166.46.144.28 | user241@test.org | Failure | No Intrusion
2022-10-09 02:43:38 | guest353 | 172.23.105.48 | guest353@test.org | Success | Intrusion Detected
2022-08-23 09:10:12 | user497 | 47.185.39.137 | user497@example.com | Failure | No Intrusion
2022-10-13 02:49:44 | user862 | 55.163.106.38 | user862@company.com | Failure | Intrusion Detected
2022-08-30 07:16:48 | guest759 | 8.124.243.147 | guest759@company.com | Failure | No Intrusion
2022-03-29 21:07:33 | user315 | 130.254.235.102 | user315@test.org | Success | Intrusion Detected
2022-09-30 02:45:59 | guest178 | 106.99.39.105 | guest178@company.com | Failure | No Intrusion
2022-01-23 02:43:22 | admin785 | 29.211.171.208 | admin785@example.com | Failure | No Intrusion
2022-06-12 01:35:24 | admin918 | 170.47.147.243 | admin918@company.com | Success | No Intrusion
2022-12-06 09:46:57 | guest363 | 205.186.93.207 | guest363@example.com | Success | Intrusion Detected
2022-11-09 13:39:44 | guest474 | 118.163.136.242 | guest474@test.org | Failure | No Intrusion
2022-03-06 02:29:20 | admin142 | 115.229.20.62 | admin142@company.com | Success | No Intrusion
2022-09-29 13:37:10 | admin126 | 242.35.140.45 | admin126@company.com | Success | Intrusion Detected
2022-09-27 19:37:16 | admin513 | 215.134.170.189 | admin513@test.org | Success | Intrusion Detected
2022-12-13 12:18:14 | guest757 | 160.165.100.138 | guest757@test.org | Success | No Intrusion
2022-06-01 03:48:18 | user489 | 178.123.124.149 | user489@test.org | Success | No Intrusion
2022-04-02 21:02:51 | user815 | 25.27.193.234 | user815@company.com | Success | Intrusion Detected
2022-08-12 16:26:50 | guest736 | 116.92.104.51 | guest736@example.com | Failure | No Intrusion
2022-06-02 23:17:08 | admin342 | 145.139.141.34 | admin342@test.org | Success | Intrusion Detected
2022-12-01 18:56:57 | guest849 | 24.48.97.67 | guest849@test.org | Failure | Intrusion Detected
